,Texto,pre
195,"  Ao contrário dos demais ramos do direito, as técnicas específicas de interpretação constitucional justificam-se pela maior densidade normativa e pela precisão do conteúdo das normas constitucionais.","  ao contrário dos demais ramos do direito, as técnicas específicas de interpretação constitucional justificamse pela maior densidade normativa e pela precisão do conteúdo das normas constitucionais."
196,"  Segundo o entendimento do Superior Tribunal de Justiça, é cabível mandado de segurança contra ato praticado em licitação promovida por sociedade de economia mista ou empresa pública.","  segundo o entendimento do superior tribunal de justiça, é cabível mandado de segurança contra ato praticado em licitação promovida por sociedade de economia mista ou empresa pública."
197,  O surgimento do contencioso administrativo no sistema administrativo francês teve como um dos seus fundamentos o reforço ao princípio da separação dos poderes.,  o surgimento do contencioso administrativo no sistema administrativo francês teve como um dos seus fundamentos o reforço ao princípio da separação dos poderes.
198,"  A despeito de a Emenda Constitucional n.º 88/2015 ter estendido em cinco anos o limite para aposentadoria compulsória, o limite de idade para a investidura no cargo de ministro do Tribunal de Contas da União e no cargo de conselheiro dos demais tribunais de contas permanece o mesmo.","  a despeito de a emenda constitucional n.º 88/2015 ter estendido em cinco anos o limite para aposentadoria compulsória, o limite de idade para a investidura no cargo de ministro do tribunal de contas da união e no cargo de conselheiro dos demais tribunais de contas permanece o mesmo."
199," A tripartição de Poderes estabelecida pelo artigo 2.º da Constituição Federal de 1988 tem caráter absoluto e irrevogável, constituindo-se cláusula pétrea do ordenamento jurídico pátrio."," a tripartição de poderes estabelecida pelo artigo 2.º da constituição federal de 1988 tem caráter absoluto e irrevogável, constituindose cláusula pétrea do ordenamento jurídico pátrio."
200,"  O Poder Executivo pode aplicar, de ofício, a lei, sem necessidade de provocação de qualquer interessado, mediante juízo de conveniência e oportunidade, nos limites delineados pelo texto legal.","  o poder executivo pode aplicar, de ofício, a lei, sem necessidade de provocação de qualquer interessado, mediante juízo de conveniência e oportunidade, nos limites delineados pelo texto legal."
201,"  Ao realizar um procedimento licitatório, o Poder Legislativo exerce uma de suas funções típicas, que não depende da autorização do Poder Executivo ou da autorização do Poder Judiciário.","  ao realizar um procedimento licitatório, o poder legislativo exerce uma de suas funções típicas, que não depende da autorização do poder executivo ou da autorização do poder judiciário."
202,"  A função típica do Poder Judiciário é solucionar, definitivamente, conflitos de interesses, por meio da aplicação do direito ao caso concreto.","  a função típica do poder judiciário é solucionar, definitivamente, conflitos de interesses, por meio da aplicação do direito ao caso concreto."
203,"  A reclamação constitucional é a medida processual adequada para o controle da aplicação equivocada, em primeiro ou segundo grau, de tese firmada pelo STJ em julgamento de recurso especial repetitivo.","  a reclamação constitucional é a medida processual adequada para o controle da aplicação equivocada, em primeiro ou segundo grau, de tese firmada pelo stj em julgamento de recurso especial repetitivo."
204,  Renova-se mensalmente o prazo decadencial para que o servidor com vantagem remuneratória suprimida ou reduzida em seu contracheque possa impetrar mandado de segurança.,  renovase mensalmente o prazo decadencial para que o servidor com vantagem remuneratória suprimida ou reduzida em seu contracheque possa impetrar mandado de segurança.
205,"  Em razão do princípio da segurança jurídica, de acordo com o STF, os tribunais de contas devem apreciar a legalidade dos atos de aposentadoria, reforma ou pensão no prazo de cinco anos a contar da data da concessão do benefício.","  em razão do princípio da segurança jurídica, de acordo com o stf, os tribunais de contas devem apreciar a legalidade dos atos de aposentadoria, reforma ou pensão no prazo de cinco anos a contar da data da concessão do benefício."
206,  A melhora na qualidade dos bens produzidos é hipótese apta a ensejar a autorização da realização de ato de concentração do qual possa resultar a dominação de mercado relevante.,  a melhora na qualidade dos bens produzidos é hipótese apta a ensejar a autorização da realização de ato de concentração do qual possa resultar a dominação de mercado relevante.
207,  As alíquotas das contribuições de intervenção no domínio econômico relativas às atividades de comercialização do petróleo e seus derivados não poderão ser diferenciadas por produto ou uso.,  as alíquotas das contribuições de intervenção no domínio econômico relativas às atividades de comercialização do petróleo e seus derivados não poderão ser diferenciadas por produto ou uso.
208,"  O constituinte reservou ao Estado o monopólio de duas importantes matrizes energéticas — combustível fóssil derivado e materiais nucleares —, tendo detalhado hipóteses de atuação nesses segmentos, sem prejuízo de outras a serem definidas em lei.","  o constituinte reservou ao estado o monopólio de duas importantes matrizes energéticas — combustível fóssil derivado e materiais nucleares —, tendo detalhado hipóteses de atuação nesses segmentos, sem prejuízo de outras a serem definidas em lei."
209,"  A exploração direta de atividade econômica pelo Estado somente é admitida quando necessária aos imperativos da segurança nacional ou a relevante interesse coletivo, cabendo ao chefe do Poder Executivo definir, por meio de decreto, as situações que caracterizem aquelas hipóteses.","  a exploração direta de atividade econômica pelo estado somente é admitida quando necessária aos imperativos da segurança nacional ou a relevante interesse coletivo, cabendo ao chefe do poder executivo definir, por meio de decreto, as situações que caracterizem aquelas hipóteses."
210,"  A subsidiariedade da atuação estatal à iniciativa privada na ordem econômica é princípio implícito do texto constitucional, uma vez que o principal papel reservado ao Estado é o de agente normativo e regulador da atividade econômica.","  a subsidiariedade da atuação estatal à iniciativa privada na ordem econômica é princípio implícito do texto constitucional, uma vez que o principal papel reservado ao estado é o de agente normativo e regulador da atividade econômica."
211,  A livre iniciativa impede a interferência do poder público no exercício das profissões e atividades econômicas.,  a livre iniciativa impede a interferência do poder público no exercício das profissões e atividades econômicas.
212,"  Entre os princípios que orientam a ordem econômica, está a defesa do meio ambiente, admitindo-se tratamento diferenciado a atividades econômicas conforme seu impacto ambiental quanto aos processos de elaboração dos produtos e de prestação dos serviços.","  entre os princípios que orientam a ordem econômica, está a defesa do meio ambiente, admitindose tratamento diferenciado a atividades econômicas conforme seu impacto ambiental quanto aos processos de elaboração dos produtos e de prestação dos serviços."
213,"  Por serem tributos, as contribuições de intervenção no domínio econômico submetem-se às normas gerais em matéria tributária, podendo, todavia, ser instituídas por lei ordinária.","  por serem tributos, as contribuições de intervenção no domínio econômico submetemse às normas gerais em matéria tributária, podendo, todavia, ser instituídas por lei ordinária."
214,"  De acordo com a Constituição Federal de 1988, o transporte marítimo do petróleo bruto de origem nacional e o transporte, por meio de conduto, de petróleo bruto constituem monopólio da União.","  de acordo com a constituição federal de 1988, o transporte marítimo do petróleo bruto de origem nacional e o transporte, por meio de conduto, de petróleo bruto constituem monopólio da união."
215,"  A ordem econômica constitucional brasileira submete-se ao princípio do tratamento favorecido às empresas de pequeno porte constituídas sob as leis brasileiras e que tenham sua sede ou filiais no país, independentemente do local de sua administração.","  a ordem econômica constitucional brasileira submetese ao princípio do tratamento favorecido às empresas de pequeno porte constituídas sob as leis brasileiras e que tenham sua sede ou filiais no país, independentemente do local de sua administração."
216,"  O controle exercido pelas Comissões de Constituição, Justiça e Cidadania das casas legislativas é meramente político e preventivo, visto que a legislação aprovada poderá, posteriormente, ser objeto de demanda judicial de caráter constitucional.","  o controle exercido pelas comissões de constituição, justiça e cidadania das casas legislativas é meramente político e preventivo, visto que a legislação aprovada poderá, posteriormente, ser objeto de demanda judicial de caráter constitucional."
217,"  Nos estados-membros e no Distrito Federal, o controle abstrato de constitucionalidade é de competência dos próprios entes federados, de acordo com o previsto nas respectivas constituições estaduais e na Lei Orgânica do Distrito Federal.","  nos estadosmembros e no distrito federal, o controle abstrato de constitucionalidade é de competência dos próprios entes federados, de acordo com o previsto nas respectivas constituições estaduais e na lei orgânica do distrito federal."
218,"  Não há exigência constitucional de o procurador-geral do estado integrar a carreira de representação judicial do ente, uma vez que o chefe do Poder Executivo possui ampla discricionariedade na escolha de seu auxiliar imediato.","  não há exigência constitucional de o procuradorgeral do estado integrar a carreira de representação judicial do ente, uma vez que o chefe do poder executivo possui ampla discricionariedade na escolha de seu auxiliar imediato."
219,"  A criação de um órgão do Poder Legislativo distrital com atribuições de assessoramento jurídico pertencente à estrutura administrativa da câmara legislativa local que, inclusive, por ela responda judicialmente não fere o princípio da unicidade da representação judicial da Procuradoria-Geral do Distrito Federal.","  a criação de um órgão do poder legislativo distrital com atribuições de assessoramento jurídico pertencente à estrutura administrativa da câmara legislativa local que, inclusive, por ela responda judicialmente não fere o princípio da unicidade da representação judicial da procuradoriageral do distrito federal."
220,"  As procuradorias dos estados possuem atribuições constitucionais de atividades de consultoria jurídica e representação judicial das respectivas unidades federadas, mas apenas relativamente à administração pública direta, autárquica e fundacional.","  as procuradorias dos estados possuem atribuições constitucionais de atividades de consultoria jurídica e representação judicial das respectivas unidades federadas, mas apenas relativamente à administração pública direta, autárquica e fundacional."
221,"  Situação hipotética: A partir de denúncia formulada à ouvidoria de um órgão federal, constatou-se que determinado imóvel rural situado no Pantanal Mato-grossense não estava cumprindo sua função social. Após oitiva de testemunhas e realização de inspeção no local, agentes governamentais confirmaram que o proprietário não estava utilizando adequadamente os recursos naturais disponíveis de forma a preservar o equilíbrio do ambiente. A União pretende desapropriar o imóvel em questão para fins de reforma agrária. Assertiva: Como o Pantanal Mato-grossense é patrimônio nacional, o referido imóvel não está passível de atividade expropriatória destinada a promover e executar projetos de reforma agrária.","  situação hipotética: a partir de denúncia formulada à ouvidoria de um órgão federal, constatouse que determinado imóvel rural situado no pantanal matogrossense não estava cumprindo sua função social. após oitiva de testemunhas e realização de inspeção no local, agentes governamentais confirmaram que o proprietário não estava utilizando adequadamente os recursos naturais disponíveis de forma a preservar o equilíbrio do ambiente. a união pretende desapropriar o imóvel em questão para fins de reforma agrária. assertiva: como o pantanal matogrossense é patrimônio nacional, o referido imóvel não está passível de atividade expropriatória destinada a promover e executar projetos de reforma agrária."
222,"  Ao estabelecer a existência da polícia científica, incumbida das perícias criminais e médico-legais e de outras atividades técnicas congêneres, o legislador estadual pode defini-la na Constituição estadual de maneira autônoma e independente, inclusive com peritos próprios, sem necessariamente submetê-la às polícias existentes e previstas na CF, desde que isso não represente nova corporação policial sem status de órgão de segurança.","  ao estabelecer a existência da polícia científica, incumbida das perícias criminais e médicolegais e de outras atividades técnicas congêneres, o legislador estadual pode definila na constituição estadual de maneira autônoma e independente, inclusive com peritos próprios, sem necessariamente submetêla às polícias existentes e previstas na cf, desde que isso não represente nova corporação policial sem status de órgão de segurança."
223,"  As Constituições dos estados-membros não podem, em razão do princípio da simetria, condicionar a nomeação, a exoneração e a destituição dos secretários de estado e do procurador-geral de justiça do estado a prévia aprovação pela assembleia legislativa local.","  as constituições dos estadosmembros não podem, em razão do princípio da simetria, condicionar a nomeação, a exoneração e a destituição dos secretários de estado e do procuradorgeral de justiça do estado a prévia aprovação pela assembleia legislativa local."
224,"  Situação hipotética: Um estado-membro da Federação, em razão de conflitos de ordem política, está repassando a um município de seu território, com atraso, receitas tributárias obrigatórias determinadas pela Constituição Federal de 1988 (CF) em valor menor que o devido. Assertiva: Nessa situação, o presidente da República poderá, por iniciativa própria, decretar a intervenção nesse estado-membro, por violação de princípio sensível da CF.","  situação hipotética: um estadomembro da federação, em razão de conflitos de ordem política, está repassando a um município de seu território, com atraso, receitas tributárias obrigatórias determinadas pela constituição federal de 1988 (cf) em valor menor que o devido. assertiva: nessa situação, o presidente da república poderá, por iniciativa própria, decretar a intervenção nesse estadomembro, por violação de princípio sensível da cf."
225,"  Para solucionar conflito entre uma entidade privada com poder social e um associado, é possível a aplicação da teoria da eficácia horizontal dos direitos e garantias fundamentais.","  para solucionar conflito entre uma entidade privada com poder social e um associado, é possível a aplicação da teoria da eficácia horizontal dos direitos e garantias fundamentais."
226,  Partidos políticos com representação no Congresso Nacional têm legitimidade para impetrar mandado de segurança a fim de coibir atos praticados no processo de aprovação de leis e emendas constitucionais em que o vício de inconstitucionalidade esteja diretamente relacionado a aspectos formais e procedimentais da atuação legislativa.,  partidos políticos com representação no congresso nacional têm legitimidade para impetrar mandado de segurança a fim de coibir atos praticados no processo de aprovação de leis e emendas constitucionais em que o vício de inconstitucionalidade esteja diretamente relacionado a aspectos formais e procedimentais da atuação legislativa.
227,"  Por força das denominadas cláusulas pétreas implícitas, é vedada a revogação integral da norma constitucional que impede a deliberação de propostas tendentes a abolir cláusulas pétreas.","  por força das denominadas cláusulas pétreas implícitas, é vedada a revogação integral da norma constitucional que impede a deliberação de propostas tendentes a abolir cláusulas pétreas."
228,"  Para que uma norma infraconstitucional anterior à Constituição vigente seja recepcionada, exige-se, de acordo com a tradição constitucional brasileira prevalecente, que tal recepção seja expressa.","  para que uma norma infraconstitucional anterior à constituição vigente seja recepcionada, exigese, de acordo com a tradição constitucional brasileira prevalecente, que tal recepção seja expressa."
229,"  O poder constituinte originário, embora reconhecidamente não absoluto em sua integralidade, não se subordina hierarquicamente a normas jurídicas anteriores na acepção jurídico-formal.","  o poder constituinte originário, embora reconhecidamente não absoluto em sua integralidade, não se subordina hierarquicamente a normas jurídicas anteriores na acepção jurídicoformal."
230,  Tanto o poder constituinte originário quanto a assembleia constituinte que tenha elaborado uma nova Constituição caracterizam-se por serem permanentes e inalienáveis.,  tanto o poder constituinte originário quanto a assembleia constituinte que tenha elaborado uma nova constituição caracterizamse por serem permanentes e inalienáveis.
231,"  Pelo princípio interpretativo da concordância prática, entende-se que se deve buscar a harmonização de bens jurídicos constitucionalmente tutelados que estejam em conflito quando verificadas diferenças hierárquicas entre as respectivas normas constitucionais.","  pelo princípio interpretativo da concordância prática, entendese que se deve buscar a harmonização de bens jurídicos constitucionalmente tutelados que estejam em conflito quando verificadas diferenças hierárquicas entre as respectivas normas constitucionais."
232,"  Embora intimamente ligado às Constituições rígidas, o princípio da supremacia da Constituição também se verifica nas Constituições flexíveis, ainda que se revele por meio de fatores distintos.","  embora intimamente ligado às constituições rígidas, o princípio da supremacia da constituição também se verifica nas constituições flexíveis, ainda que se revele por meio de fatores distintos."
233,"  A classificação de determinada norma como materialmente constitucional baseia-se em critérios objetivos e categóricos, sendo, portanto, imune à subjetividade do intérprete.","  a classificação de determinada norma como materialmente constitucional baseiase em critérios objetivos e categóricos, sendo, portanto, imune à subjetividade do intérprete."
234,"  Em razão das diferentes acepções e dos sentidos que envolvem o termo Constituição, o seu conceito deve afastar-se de definições evidentemente minimalistas.","  em razão das diferentes acepções e dos sentidos que envolvem o termo constituição, o seu conceito deve afastarse de definições evidentemente minimalistas."
235,"  Ao contrário dos demais ramos do direito, as técnicas específicas de interpretação constitucional justificam-se pela maior densidade normativa e pela precisão do conteúdo das normas constitucionais.","  ao contrário dos demais ramos do direito, as técnicas específicas de interpretação constitucional justificamse pela maior densidade normativa e pela precisão do conteúdo das normas constitucionais."
236,"  Segundo o entendimento do Superior Tribunal de Justiça, é cabível mandado de segurança contra ato praticado em licitação promovida por sociedade de economia mista ou empresa pública.","  segundo o entendimento do superior tribunal de justiça, é cabível mandado de segurança contra ato praticado em licitação promovida por sociedade de economia mista ou empresa pública."
237,  O surgimento do contencioso administrativo no sistema administrativo francês teve como um dos seus fundamentos o reforço ao princípio da separação dos poderes.,  o surgimento do contencioso administrativo no sistema administrativo francês teve como um dos seus fundamentos o reforço ao princípio da separação dos poderes.
238,"  A despeito de a Emenda Constitucional n.º 88/2015 ter estendido em cinco anos o limite para aposentadoria compulsória, o limite de idade para a investidura no cargo de ministro do Tribunal de Contas da União e no cargo de conselheiro dos demais tribunais de contas permanece o mesmo.","  a despeito de a emenda constitucional n.º 88/2015 ter estendido em cinco anos o limite para aposentadoria compulsória, o limite de idade para a investidura no cargo de ministro do tribunal de contas da união e no cargo de conselheiro dos demais tribunais de contas permanece o mesmo."
239," A tripartição de Poderes estabelecida pelo artigo 2.º da Constituição Federal de 1988 tem caráter absoluto e irrevogável, constituindo-se cláusula pétrea do ordenamento jurídico pátrio."," a tripartição de poderes estabelecida pelo artigo 2.º da constituição federal de 1988 tem caráter absoluto e irrevogável, constituindose cláusula pétrea do ordenamento jurídico pátrio."
240,"  O Poder Executivo pode aplicar, de ofício, a lei, sem necessidade de provocação de qualquer interessado, mediante juízo de conveniência e oportunidade, nos limites delineados pelo texto legal.","  o poder executivo pode aplicar, de ofício, a lei, sem necessidade de provocação de qualquer interessado, mediante juízo de conveniência e oportunidade, nos limites delineados pelo texto legal."
241,"  Ao realizar um procedimento licitatório, o Poder Legislativo exerce uma de suas funções típicas, que não depende da autorização do Poder Executivo ou da autorização do Poder Judiciário.","  ao realizar um procedimento licitatório, o poder legislativo exerce uma de suas funções típicas, que não depende da autorização do poder executivo ou da autorização do poder judiciário."
242,"  A função típica do Poder Judiciário é solucionar, definitivamente, conflitos de interesses, por meio da aplicação do direito ao caso concreto.","  a função típica do poder judiciário é solucionar, definitivamente, conflitos de interesses, por meio da aplicação do direito ao caso concreto."
243,"  Cada Poder do Estado tem sua atividade principal, também denominada função típica, e suas atividades secundárias, que lhe são imputadas pela lei, denominadas funções administrativas.","  cada poder do estado tem sua atividade principal, também denominada função típica, e suas atividades secundárias, que lhe são imputadas pela lei, denominadas funções administrativas."
244,  O mandado de segurança é o meio próprio para se obter efeito suspensivo a recurso ordinário interposto de sentença que ratifique a antecipação de tutela.,  o mandado de segurança é o meio próprio para se obter efeito suspensivo a recurso ordinário interposto de sentença que ratifique a antecipação de tutela.
245,"  De acordo com a concepção positivista, o poder constituinte originário tem natureza política, pois se encontra acima de toda e qualquer norma jurídica e é resultante da força social responsável por sua criação.","  de acordo com a concepção positivista, o poder constituinte originário tem natureza política, pois se encontra acima de toda e qualquer norma jurídica e é resultante da força social responsável por sua criação."
246,"  O poder constituinte formal é o responsável por definir o conteúdo fundamental da constituição, ou seja, é o lado substancial do poder constituinte originário.","  o poder constituinte formal é o responsável por definir o conteúdo fundamental da constituição, ou seja, é o lado substancial do poder constituinte originário."
247,"  O poder constituinte originário é inicial, autônomo, incondicionado e interino, já que se esgota com a edição de uma nova constituição, perdendo o fundamento de sua existência.","  o poder constituinte originário é inicial, autônomo, incondicionado e interino, já que se esgota com a edição de uma nova constituição, perdendo o fundamento de sua existência."
248,  Denomina-se poder constituinte histórico o responsável pelo surgimento da primeira constituição de um Estado.,  denominase poder constituinte histórico o responsável pelo surgimento da primeira constituição de um estado.
249,"  Fala-se em poder constituinte difuso quando o surgimento da constituição resulta da deliberação formal de um grupo de agentes, como no caso das constituições escritas.","  falase em poder constituinte difuso quando o surgimento da constituição resulta da deliberação formal de um grupo de agentes, como no caso das constituições escritas."
250,"  As decisões definitivas de mérito, proferidas pelo Supremo Tribunal Federal nas ações declaratórias de constitucionalidade, produzirão eficácia contra todos e efeito vinculante relativamente aos demais órgãos do Poder Judiciário e à administração pública direta e indireta, nas esferas federal, estadual e municipal.","  as decisões definitivas de mérito, proferidas pelo supremo tribunal federal nas ações declaratórias de constitucionalidade, produzirão eficácia contra todos e efeito vinculante relativamente aos demais órgãos do poder judiciário e à administração pública direta e indireta, nas esferas federal, estadual e municipal."
251,  São requisitos da petição inicial da ação direta de constitucionalidade a necessidade de indicação do dispositivo de lei impugnado e a existência de controvérsia judicial relevante a respeito de sua aplicação.,  são requisitos da petição inicial da ação direta de constitucionalidade a necessidade de indicação do dispositivo de lei impugnado e a existência de controvérsia judicial relevante a respeito de sua aplicação.
252,"  Sob uma perspectiva temporal, as leis e os atos normativos só serão admitidos como objeto de ação direta de inconstitucionalidade quando produzidos posteriormente ao parâmetro constitucional violado.","  sob uma perspectiva temporal, as leis e os atos normativos só serão admitidos como objeto de ação direta de inconstitucionalidade quando produzidos posteriormente ao parâmetro constitucional violado."
253,  Também são admitidas como parâmetro para a propositura da ação direta de inconstitucionalidade as normas constantes de tratados ou convenções internacionais de direitos humanos aprovadas por rito ordinário.,  também são admitidas como parâmetro para a propositura da ação direta de inconstitucionalidade as normas constantes de tratados ou convenções internacionais de direitos humanos aprovadas por rito ordinário.
254,  Partidos políticos com representação no Congresso Nacional e entidades de classe de âmbito nacional têm legitimidade ativa para propositura da ação declaratória de constitucionalidade.,  partidos políticos com representação no congresso nacional e entidades de classe de âmbito nacional têm legitimidade ativa para propositura da ação declaratória de constitucionalidade.
255,  É vedada a incorporação de vantagens de caráter temporário ou vinculadas ao exercício de função de confiança ou de cargo em comissão à remuneração do cargo efetivo.,  é vedada a incorporação de vantagens de caráter temporário ou vinculadas ao exercício de função de confiança ou de cargo em comissão à remuneração do cargo efetivo.
256,"  Na esfera da administração pública direta, as funções de confiança e os cargos em comissão destinados às atribuições de direção, chefia e assessoramento devem ser preenchidos, exclusivamente, por servidores de carreira.","  na esfera da administração pública direta, as funções de confiança e os cargos em comissão destinados às atribuições de direção, chefia e assessoramento devem ser preenchidos, exclusivamente, por servidores de carreira."
257,"  Para a fixação dos padrões de vencimento dos servidores públicos, há de se observar a peculiaridade do cargo e os requisitos para a investidura, bem como a natureza, o grau de responsabilidade e a complexidade dos cargos componentes de cada carreira.","  para a fixação dos padrões de vencimento dos servidores públicos, há de se ervar a peculiaridade do cargo e os requisitos para a investidura, bem como a natureza, o grau de responsabilidade e a complexidade dos cargos componentes de cada carreira."
258,"  Enquanto estiver em exercício de mandato eletivo federal, estadual ou municipal, ficará afastado de seu cargo, seu emprego ou sua função o servidor público da administração direta, autárquica e fundacional.","  enquanto estiver em exercício de mandato eletivo federal, estadual ou municipal, ficará afastado de seu cargo, seu emprego ou sua função o servidor público da administração direta, autárquica e fundacional."
259,"  Os cargos de presidente e vice-presidente da República, bem como os cargos de governador e vice-governador dos estados e do Distrito Federal, são privativos de brasileiros natos.","  os cargos de presidente e vicepresidente da república, bem como os cargos de governador e vicegovernador dos estados e do distrito federal, são privativos de brasileiros natos."
260,"  A educação, a saúde, a moradia e a proteção à maternidade e à infância são direitos sociais expressamente previstos na Constituição Federal.","  a educação, a saúde, a moradia e a proteção à maternidade e à infância são direitos sociais expressamente previstos na constituição federal."
261,"  As entidades sindicais dependem de autorização do Estado para sua fundação, porém é vedado ao Poder Público exercer qualquer tipo de interferência em seu funcionamento.","  as entidades sindicais dependem de autorização do estado para sua fundação, porém é vedado ao poder público exercer qualquer tipo de interferência em seu funcionamento."
262,"  O direito ao contraditório e à ampla defesa são assegurados aos litigantes e aos acusados em geral, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei.","  o direito ao contraditório e à ampla defesa são assegurados aos litigantes e aos acusados em geral, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei."
263,"  Uma constituição enxuta, que não se ocupa de minúcias, mas apenas dos princípios fundamentais e estruturais do Estado, é classificada como sintética.","  uma constituição enxuta, que não se ocupa de minúcias, mas apenas dos princípios fundamentais e estruturais do estado, é classificada como sintética."
264,"  Sob a perspectiva do modo de elaboração, as constituições dogmáticas são as criadas por meio de um lento e contínuo processo de formação, com a reunião de histórias e costumes de um povo.","  sob a perspectiva do modo de elaboração, as constituições dogmáticas são as criadas por meio de um lento e contínuo processo de formação, com a reunião de histórias e costumes de um povo."
265,"  Ante ao critério sistemático, define-se como constituição legal, também denominada constituição escrita não formal, aquela que se distribui em vários textos e documentos esparsos, ou seja, que não se materializa em um único documento legal.","  ante ao critério sistemático, definese como constituição legal, também denominada constituição escrita não formal, aquela que se distribui em vários textos e documentos esparsos, ou seja, que não se materializa em um único documento legal."
266,"  São classificadas como semirrígidas as constituições que, apesar de poderem ser alteradas pelo Poder Legislativo derivado, exigem, para tanto, um processo legislativo mais solene que o processo para a alteração de leis ordinárias.","  são classificadas como semirrígidas as constituições que, apesar de poderem ser alteradas pelo poder legislativo derivado, exigem, para tanto, um processo legislativo mais solene que o processo para a alteração de leis ordinárias."
267,"  A Constituição Federal de 1988, por ser fruto de uma Assembleia Nacional Constituinte formada democraticamente por representantes do povo, é classificada, quanto à sua origem, como constituição promulgada.","  a constituição federal de 1988, por ser fruto de uma assembleia nacional constituinte formada democraticamente por representantes do povo, é classificada, quanto à sua origem, como constituição promulgada."
268,"  Determinados cargos públicos observam, para fins de aposentadoria, tempo mínimo diferenciado, em razão da atividade desempenhada.","  determinados cargos públicos ervam, para fins de aposentadoria, tempo mínimo diferenciado, em razão da atividade desempenhada."
269,"  A aposentadoria voluntária de servidor público exige tempo mínimo de serviço público e tempo mínimo no cargo da aposentação, sem variação de idade a partir do gênero.","  a aposentadoria voluntária de servidor público exige tempo mínimo de serviço público e tempo mínimo no cargo da aposentação, sem variação de idade a partir do gênero."
270,"  A aposentadoria compulsória de servidor público, cuja idade-limite não admite variação a bem da isonomia, dar-se-á com proventos proporcionais ao tempo de serviço.","  a aposentadoria compulsória de servidor público, cuja idadelimite não admite variação a bem da isonomia, darseá com proventos proporcionais ao tempo de serviço."
271,"  A aposentadoria de servidor público por invalidez dar-se-á, invariavelmente, com proventos integrais.","  a aposentadoria de servidor público por invalidez darseá, invariavelmente, com proventos integrais."
272,"  Os requisitos para a assunção de cargo público estão submetidos à reserva legal, sendo vedada a inovação em edital de concurso.","  os requisitos para a assunção de cargo público estão submetidos à reserva legal, sendo vedada a inovação em edital de concurso."
273,"  A inalienabilidade dos direitos fundamentais representa a impossibilidade de sua disposição por faltar-lhes conteúdo econômico, o que não quer dizer que os direitos fundamentais não possam ter repercussões patrimoniais.","  a inalienabilidade dos direitos fundamentais representa a impossibilidade de sua disposição por faltarlhes conteúdo econômico, o que não quer dizer que os direitos fundamentais não possam ter repercussões patrimoniais."
274,"  A universalidade dos direitos fundamentais diz respeito à sua condição transnacional, isto é, à proteção que lhes deve ser conferida por todos os países.","  a universalidade dos direitos fundamentais diz respeito à sua condição transnacional, isto é, à proteção que lhes deve ser conferida por todos os países."
275,  A imprescritibilidade dos direitos fundamentais quer dizer que não são eles perdidos por seus titulares em razão do decurso do tempo.,  a imprescritibilidade dos direitos fundamentais quer dizer que não são eles perdidos por seus titulares em razão do decurso do tempo.
276,"  A irrenunciabilidade dos direitos fundamentais impede a sua disposição definitiva, não o seu não exercício.","  a irrenunciabilidade dos direitos fundamentais impede a sua disposição definitiva, não o seu não exercício."
277,  A classificação geracional dos direitos fundamentais leva em consideração sua ordem de importância.,  a classificação geracional dos direitos fundamentais leva em consideração sua ordem de importância.
278,"  O conceito de Constituição pode congregar diversos sentidos (político, sociológico e jurídico), cada qual com reflexos sobre diferentes áreas do conhecimento.","  o conceito de constituição pode congregar diversos sentidos (político, sociológico e jurídico), cada qual com reflexos sobre diferentes áreas do conhecimento."
279,"  O objeto das constituições tem se mantido historicamente inalterado, perfazendo um mínimo essencial que deve se revelar presente em toda Carta que se pretenda constitucional.","  o objeto das constituições tem se mantido historicamente inalterado, perfazendo um mínimo essencial que deve se revelar presente em toda carta que se pretenda constitucional."
280,"  Em sentido formal, é constitucional tudo aquilo que a Constituição consagra.","  em sentido formal, é constitucional tudo aquilo que a constituição consagra."
281,"  A Constituição consagra lei fundamental que, ao fim e ao cabo, funda o Estado.","  a constituição consagra lei fundamental que, ao fim e ao cabo, funda o estado."
282,  O sentido material da Constituição diz respeito essencialmente à organização do poder e às formas e aos limites de seu exercício.,  o sentido material da constituição diz respeito essencialmente à organização do poder e às formas e aos limites de seu exercício.
283,"  Considere que um cidadão de 33 anos de idade, brasileiro, advogado, com mais de doze anos de efetiva atividade profissional, gozando de idoneidade moral e reputação ilibada, e com notórios conhecimentos jurídicos, contábeis e de administração pública, tenha sido cogitado para vaga de ministro do Tribunal de Contas da União. Nessa situação, ele cumpre os requisitos necessários à investidura no cargo.","  considere que um cidadão de 33 anos de idade, brasileiro, advogado, com mais de doze anos de efetiva atividade profissional, gozando de idoneidade moral e reputação ilibada, e com notórios conhecimentos jurídicos, contábeis e de administração pública, tenha sido cogitado para vaga de ministro do tribunal de contas da união. nessa situação, ele cumpre os requisitos necessários à investidura no cargo."
284," Pode o STJ, em ação popular, declarar incidentalmente a inconstitucionalidade da norma atacada, se a controvérsia constitucional for a causa de pedir."," pode o stj, em ação popular, declarar incidentalmente a inconstitucionalidade da norma atacada, se a controvérsia constitucional for a causa de pedir."
285," De acordo com o STF, é lícito ao Poder Judiciário, em situações excepcionais, determinar que a administração pública adote medidas assecuratórias de direitos constitucionalmente reconhecidos como essenciais."," de acordo com o stf, é lícito ao poder judiciário, em situações excepcionais, determinar que a administração pública adote medidas assecuratórias de direitos constitucionalmente reconhecidos como essenciais."
